,1,2
295,"[172.62890624999991, '']",[170.3450520833334]
296,"[178.32552083333297, '']",[175.4244791666662]
297,"[172.02343749999943, '']",[169.47526041666637]
298,"[166.9075520833334, '']",[165.18619791666652]
299,"[135.21614583333312, '']",[133.05598958333306]
300,"[118.05598958333348, '']",[115.95442708333304]
301,"[154.9049479166669, '']",[153.23437500000006]
302,"[187.6914062500001, '']",[185.66927083333348]
303,"[177.12239583333368, '']",[175.48567708333334]
304,"[192.45442708333388, '']",[190.1875000000003]
305,"[200.25260416666657, '']",[198.50781250000023]
306,"[170.68749999999994, '']",[168.66406249999986]
307,"[141.07291666666674, '']",[138.84244791666669]
308,"[130.58333333333323, '']",[128.64843749999983]
309,"[188.0195312499997, '']",[185.7213541666668]
310,"[180.45312500000037, '']",[178.7786458333335]
311,"[167.03645833333354, '']",[166.0286458333332]
312,"[157.1901041666668, '']",[155.55598958333331]
313,"[150.13932291666643, '']",[148.36588541666677]
314,"[149.08984374999991, '']",[147.02734374999994]
315,"[81.41536458333337, '']",[79.06380208333333]
316,"[131.05468749999977, '']",[129.23567708333303]
317,"[144.8333333333339, '']",[143.42708333333314]
318,"[147.71614583333363, '']",[146.3098958333332]
319,"[145.5664062500007, '']",[144.1614583333332]
320,"[112.98697916666663, '']",[111.16406249999972]
321,"[90.27734374999994, '']",[87.78385416666669]
322,"[93.68619791666669, '']",[91.70833333333336]
323,"[126.66276041666681, '']",[124.86328124999976]
324,"[112.31380208333323, '']",[110.55859374999973]
325,"[105.4309895833335, '']",[103.43359375000003]
326,"[141.89322916666657, '']",[139.1328125000001]
327,"[121.5338541666667, '']",[119.70442708333317]
328,"[66.91796875000001, '']",[65.11328125000004]
329,"[112.08333333333313, '']",[110.34375]
330,"[58.64583333333331, '']",[57.179687500000014]
331,"[152.44270833333317, '']",[150.9049479166666]
332,"[158.7408854166668, '']",[156.65625]
333,"[160.27473958333294, '']",[158.1666666666666]
334,"[160.3255208333333, '']",[158.83854166666663]
335,"[154.54296875000009, '']",[152.36588541666674]
336,"[150.84374999999986, '']",[148.4635416666665]
337,"[180.75260416666674, '']",[178.8815104166666]
338,"[110.35156250000004, '']",[107.93229166666679]
339,"[141.97135416666657, '']",[140.47135416666657]
340,"[180.8632812499999, '']",[179.0]
341,"[183.92708333333314, '']",[182.4257812500001]
342,"[188.4908854166663, '']",[186.43359374999957]
343,"[192.01953124999946, '']",[190.41536458333286]
344,"[170.2018229166666, '']",[168.47135416666666]
345,"[179.91015625000014, '']",[178.5755208333332]
346,"[188.69921874999983, '']",[187.2109375]
347,"[142.1276041666667, '']",[140.47786458333323]
348,"[114.62239583333326, '']",[113.20182291666661]
349,"[201.59635416666666, '']",[199.40234374999946]
350,"[197.341145833333, '']",[194.88020833333303]
351,"[202.4505208333331, '']",[200.48697916666612]
352,"[208.97005208333326, '']",[206.61458333333258]
353,"[210.89062499999966, '']",[209.29687499999966]
354,"[200.23437500000026, '']",[198.14322916666677]
355,"[170.24739583333331, '']",[168.20182291666674]
356,"[195.79687499999974, '']",[193.46223958333314]
357,"[184.85807291666686, '']",[183.08333333333366]
358,"[91.29427083333337, '']",[89.23828125000001]
359,"[171.2838541666663, '']",[169.45442708333363]
360,"[164.66406250000023, '']",[162.5442708333334]
361,"[139.11458333333317, '']",[136.6914062499999]
362,"[131.12760416666663, '']",[129.0286458333332]
363,"[143.2630208333331, '']",[141.86979166666666]
364,"[154.47656249999991, '']",[152.3645833333335]
365,"[153.85937500000009, '']",[152.3398437500004]
366,"[177.85937500000006, '']",[176.0963541666662]
367,"[166.22135416666663, '']",[164.0078125]
368,"[200.67578124999972, '']",[199.20572916666646]
369,"[141.12500000000006, '']",[138.94401041666652]
370,"[118.17838541666667, '']",[116.84505208333354]
371,"[134.64973958333348, '']",[133.05208333333294]
372,"[154.19791666666669, '']",[152.66015625000026]
373,"[169.4765624999999, '']",[167.26822916666669]
374,"[163.1041666666667, '']",[161.05729166666669]
375,"[152.0468750000001, '']",[149.64973958333343]
376,"[143.39192708333303, '']",[141.57682291666677]
377,"[144.42968749999977, '']",[143.01692708333317]
378,"[160.35937500000014, '']",[158.85546874999997]
379,"[169.37369791666677, '']",[167.5846354166665]
380,"[153.68359374999997, '']",[151.96223958333323]
381,"[183.53255208333334, '']",[182.2252604166668]
382,"[161.3984375000001, '']",[159.63281250000009]
383,"[140.82682291666646, '']",[138.87630208333326]
384,"[185.2643229166666, '']",[183.3567708333331]
385,"[194.67708333333363, '']",[193.22916666666697]
386,"[172.2955729166668, '']",[170.1080729166666]
387,"[143.61718749999991, '']",[142.45052083333343]
388,"[152.8164062499999, '']",[150.82031250000023]
389,"[200.71093750000017, '']",[198.02864583333334]
390,"[196.01432291666706, '']",[193.38541666666677]
391,"[191.20052083333337, '']",[188.83333333333354]
392,"[176.72005208333303, '']",[174.82942708333326]
393,"[159.16796875, '']",[156.9765625]
394,"[150.42187500000003, '']",[147.90234374999997]
395,"[96.2187500000001, '']",[94.17708333333331]
396,"[145.60026041666652, '']",[143.97265625000003]
397,"[140.75651041666669, '']",[138.45963541666666]
398,"[125.62630208333317, '']",[123.1458333333335]
399,"[116.17838541666723, '']",[113.74479166666623]
400,"[119.49348958333333, '']",[117.50520833333331]
401,"[102.45442708333329, '']",[100.57031249999997]
402,"[106.12890624999993, '']",[104.7330729166667]
403,"[127.02994791666676, '']",[125.43359374999991]
404,"[124.50130208333337, '']",[123.06640624999987]
405,"[142.26562500000023, '']",[140.35546874999972]
406,"[188.37499999999994, '']",[186.2252604166665]
407,"[142.23177083333343, '']",[140.15364583333337]
408,"[33.716145833333364, '']",[31.184895833333343]
409,"[84.10546875000003, '']",[81.72916666666667]
410,"[52.208333333333286, '']",[50.90755208333335]
411,"[153.37760416666674, '']",[150.9270833333333]
412,"[161.1041666666669, '']",[158.63411458333337]
413,"[158.4153645833338, '']",[156.5]
414,"[158.13932291666669, '']",[156.0]
415,"[155.6874999999999, '']",[153.8932291666667]
416,"[134.1822916666666, '']",[131.9127604166666]
417,"[153.17317708333312, '']",[151.23567708333323]
418,"[107.5807291666666, '']",[105.6692708333332]
419,"[117.06770833333336, '']",[114.95963541666674]
420,"[175.3033854166665, '']",[173.09375]
421,"[179.6523437499999, '']",[177.21093749999986]
422,"[183.89583333333314, '']",[181.5768229166663]
423,"[186.52213541666623, '']",[184.8229166666664]
424,"[170.35677083333314, '']",[168.49218750000003]
425,"[187.29296874999991, '']",[185.84244791666666]
426,"[192.41145833333331, '']",[190.9492187500001]
427,"[153.47526041666652, '']",[151.7486979166668]
428,"[106.8997395833334, '']",[105.64713541666652]
429,"[203.35546874999966, '']",[201.4309895833329]
430,"[206.5442708333327, '']",[204.25651041666643]
431,"[207.53385416666666, '']",[205.30468749999997]
432,"[210.23046874999957, '']",[208.6523437500001]
433,"[213.65234374999966, '']",[211.46223958333297]
434,"[201.53645833333377, '']",[199.80598958333366]
435,"[175.7135416666667, '']",[174.20963541666683]
436,"[207.73437499999963, '']",[205.328125]
437,"[189.43489583333357, '']",[188.21223958333348]
438,"[92.58463541666657, '']",[90.8632812500001]
439,"[137.35026041666669, '']",[134.99869791666674]
440,"[118.76302083333324, '']",[116.1106770833334]
441,"[103.91536458333336, '']",[101.70312499999984]
442,"[124.10416666666671, '']",[122.30989583333319]
443,"[145.16406249999997, '']",[143.73828124999997]
444,"[147.80078125000017, '']",[145.75781249999997]
445,"[146.09244791666637, '']",[144.4361979166669]
446,"[178.82291666666657, '']",[177.3723958333334]
447,"[172.65104166666669, '']",[170.5625]
448,"[204.24869791666615, '']",[202.20963541666663]
449,"[131.30989583333317, '']",[129.4049479166666]
450,"[129.87890624999997, '']",[128.45703125]
451,"[139.88020833333334, '']",[137.79947916666688]
452,"[148.08723958333348, '']",[146.36458333333348]
453,"[159.0104166666666, '']",[157.49088541666646]
454,"[157.9609374999999, '']",[155.86458333333331]
455,"[149.6770833333333, '']",[147.89843749999994]
456,"[142.00260416666623, '']",[140.09765625000014]
457,"[145.11458333333346, '']",[144.00520833333337]
458,"[169.63020833333337, '']",[167.9270833333333]
459,"[187.4895833333332, '']",[185.81770833333317]
460,"[153.71744791666666, '']",[152.43229166666669]
461,"[189.8971354166665, '']",[187.66796874999986]
462,"[126.99869791666686, '']",[125.4140625000004]
463,"[129.49609374999986, '']",[127.35156249999989]
464,"[183.09375000000037, '']",[181.14322916666688]
465,"[203.31901041666694, '']",[201.8645833333333]
466,"[180.4270833333336, '']",[178.3333333333332]
467,"[149.4140624999999, '']",[147.6236979166664]
468,"[173.51562499999994, '']",[171.2265624999999]
469,"[219.7057291666667, '']",[218.15234375000006]
470,"[216.7552083333337, '']",[215.06380208333366]
471,"[217.3007812499997, '']",[214.2630208333332]
472,"[208.29296874999991, '']",[206.52734374999997]
473,"[166.26953124999997, '']",[164.82161458333346]
474,"[153.2929687500001, '']",[151.3580729166667]
475,"[130.6575520833333, '']",[128.29036458333331]
476,"[203.8164062500001, '']",[201.35807291666706]
477,"[202.6328124999997, '']",[201.01302083333286]
478,"[196.49479166666666, '']",[194.74739583333277]
479,"[188.7460937499995, '']",[186.5091145833336]
480,"[122.6822916666666, '']",[120.33593750000028]
481,"[87.37890625000018, '']",[85.76953124999994]
482,"[80.71614583333327, '']",[78.39713541666673]
483,"[121.63411458333314, '']",[120.21223958333316]
484,"[143.8854166666667, '']",[142.21874999999994]
485,"[113.41015624999999, '']",[111.68749999999991]
486,"[120.95442708333314, '']",[119.15104166666666]
487,"[120.34244791666657, '']",[118.33463541666664]
488,"[39.18098958333335, '']",[36.86979166666668]
489,"[72.2942708333333, '']",[69.88151041666671]
490,"[59.940104166666636, '']",[57.83203125000004]
491,"[148.44140624999983, '']",[146.69791666666669]
492,"[168.72656250000006, '']",[167.25520833333326]
493,"[157.45572916666652, '']",[155.50000000000006]
494,"[157.01302083333357, '']",[154.08333333333334]
495,"[146.08984374999994, '']",[143.91145833333346]
496,"[117.4440104166666, '']",[115.44791666666657]
497,"[114.26171874999994, '']",[111.66276041666686]
498,"[105.32552083333334, '']",[103.19531250000006]
499,"[103.05859375000009, '']",[101.47265625000018]
500,"[171.20052083333331, '']",[170.25]
501,"[175.90104166666657, '']",[173.58984374999974]
502,"[180.63151041666632, '']",[178.73307291666632]
503,"[183.36067708333292, '']",[181.1471354166663]
504,"[168.33463541666657, '']",[166.61197916666657]
505,"[167.5677083333333, '']",[165.83203125]
506,"[185.8333333333332, '']",[183.7617187500001]
507,"[137.13671874999991, '']",[135.0481770833334]
508,"[104.54036458333337, '']",[103.19010416666654]
509,"[194.64843749999955, '']",[192.96354166666617]
510,"[200.56901041666652, '']",[198.33984374999943]
511,"[201.06901041666652, '']",[198.57682291666669]
512,"[202.94401041666637, '']",[200.62630208333297]
513,"[208.5364583333332, '']",[206.63020833333275]
514,"[207.0664062499999, '']",[204.7031249999998]
515,"[173.28385416666674, '']",[171.9830729166666]
516,"[210.11718749999994, '']",[207.75520833333294]
517,"[192.69661458333343, '']",[190.96093750000023]
518,"[81.64062499999994, '']",[80.28645833333334]
519,"[128.64322916666674, '']",[126.41015625000014]
